Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
249,2,2,"10,900,000","Barrio San Francisco, La Magdalena Contreras",- 265 m² tot. - 3 rec. - 3 baños - 2 estac.
250,2,2,"4,250,000","Moderna, Benito Juárez",- 200 m² tot. - 7 rec. - 1 baño
251,2,2,"5,900,000","San Lorenzo Huipulco, Tlalpan",- 194 m² tot. - 5 rec. - 5 baños - 2 estac.
252,2,2,"8,600,000","San Jerónimo Lídice, La Magdalena Contreras",- 268 m² tot. - 4 rec. - 4 baños - 4 estac.
253,2,2,"38,900,000","Condominios del Bosque, Tlalpan",- 967 m² tot. - 5 rec. - 5 baños - 8 estac.
254,2,2,"120,000,000","Jardines del Pedregal, Alvaro Obregón",- 1448 m² tot. - 4 rec. - 4 baños - 12 estac.
255,2,2,"8,570,000","Periodista, Benito Juárez",- 341 m² tot. - 8 rec. - 3 baños - 4 estac.
256,2,2,"9,190,000","San Nicolás Totolapan, La Magdalena Contreras",- 207 m² tot. - 4 rec. - 3 baños - 3 estac.
257,2,2,"32,000,000","Bosques de las Lomas, Cuajimalpa de Morelos",- 705 m² tot. - 3 rec. - 4 estac.
258,2,2,"19,990,000","Club de Golf México, Tlalpan",- 730 m² tot. - 3 rec. - 4 baños - 4 estac.
259,2,2,"27,500,000","Lomas de Bezares, Miguel Hidalgo",- 540 m² tot. - 3 rec. - 4 baños - 4 estac.
260,2,2,"18,500,000","Barrio San Francisco, La Magdalena Contreras",- 515 m² tot. - 3 rec. - 6 baños - 6 estac.
261,2,2,"25,000,000","Bosques de las Lomas, Cuajimalpa de Morelos",- 800 m² tot. - 2 rec. - 2 baños - 3 estac.
262,2,2,"3,650,000","Santa Fe La Loma, Alvaro Obregón",- 852 m² tot. - 4 rec. - 5 baños - 6 estac.
263,2,2,"8,490,000","San Jerónimo Lídice, La Magdalena Contreras",- 148 m² tot. - 3 rec. - 3 baños
264,2,2,"13,400,000","San Francisco, La Magdalena Contreras",- 658 m² tot. - 4 rec. - 3 baños - 6 estac.
265,2,2,"36,000,000","Lomas de Chapultepec, Miguel Hidalgo",- 320 m² tot. - 3 rec. - 3 baños - 3 estac.
266,2,2,"70,500,000","Jardines del Pedregal, Alvaro Obregón",- 1800 m² tot. - 5 rec. - 8 baños - 12 estac.
267,2,2,"23,500,000","Jardines del Pedregal de San Ángel, Coyoacán",- 829 m² tot. - 4 rec. - 4 baños - 4 estac.
268,2,2,"17,800,000","Bosque de las Lomas, Miguel Hidalgo",- 598 m² tot. - 3 rec. - 4 baños - 4 estac.
269,2,2,"66,500,000","Jardines del Pedregal, Alvaro Obregón",- 903 m² tot. - 4 rec. - 4 baños - 6 estac.
270,2,2,"21,500,000","Tlalpuente, Tlalpan",- 3500 m² tot. - 3 rec. - 5 baños - 12 estac.
271,2,2,"39,000,000","Del Carmen, Coyoacán",- 444 m² tot. - 7 rec. - 3 baños - 4 estac.
272,2,2,"15,500,000","San Ángel, Alvaro Obregón",- 220 m² tot. - 3 rec. - 3 baños - 3 estac.
273,2,2,"38,000,000","San Ángel, Alvaro Obregón",- 542 m² tot. - 4 rec. - 4 baños - 6 estac.
274,2,2,"2,470,000","Lomas de Chapultepec, Miguel Hidalgo",- 812 m² tot. - 5 rec. - 4 baños - 3 estac.
275,2,2,"5,800,000","Héroes de Padierna, Tlalpan",- 240 m² tot. - 6 rec. - 3 baños - 4 estac.
276,2,2,"10,900,000","Florida, Alvaro Obregón",- 228 m² tot. - 6 rec. - 3 baños - 2 estac.
277,2,2,"9,400,000","San Andrés Totoltepec, Tlalpan",- 1150 m² tot. - 3 rec. - 3 baños - 5 estac.
278,2,2,"5,995,000","Santa María Tepepan, Xochimilco",- 210 m² tot. - 3 rec. - 3 baños - 3 estac.
279,2,2,"5,794,819","Contadero, Cuajimalpa de Morelos",- 218 m² tot. - 2 rec. - 2 baños - 2 estac.
280,2,2,"140,000,000","Santa Fe, Alvaro Obregón",- 1790 m² tot. - 4 rec. - 4 baños - 8 estac.
281,2,2,"4,750,000","Jardín Azpeitia, Azcapotzalco",- 225 m² tot. - 2 rec. - 3 baños - 3 estac.
282,2,2,"29,300,000","Jardines del Pedregal, Alvaro Obregón",- 806 m² tot. - 3 rec. - 3 baños - 5 estac.
283,2,2,"11,950,000","Jardines del Ajusco, Tlalpan",- 500 m² tot. - 3 rec. - 3 baños - 5 estac.
284,2,2,"10,500,000","Del Valle Centro, Benito Juárez",- 400 m² tot. - 6 rec. - 7 baños - 4 estac.
285,2,2,"21,900,000","Bosque de las Lomas, Miguel Hidalgo",- 527 m² tot. - 3 rec. - 3 baños - 6 estac.
286,2,2,"14,500,000","Romero de Terreros, Coyoacán",- 258 m² tot. - 4 rec. - 6 baños - 3 estac.
287,2,2,"12,500,000","Mixcoac, Benito Juárez",- 408 m² tot. - 6 rec. - 3 baños - 2 estac.
288,2,2,"28,000,000","Del Carmen, Coyoacán",- 480 m² tot. - 4 rec. - 6 baños - 6 estac.
289,2,2,"43,000,000","Lomas de Chapultepec, Miguel Hidalgo",- 500 m² tot. - 3 rec. - 3 baños - 4 estac.
290,2,2,"14,690,000","Jardines del Pedregal, Alvaro Obregón",- 360 m² tot. - 3 rec. - 3 baños - 4 estac.
291,2,2,"6,499,000","Recreo, Azcapotzalco",- 194 m² tot. - 3 rec. - 2 baños - 2 estac.
292,2,2,"9,900,000","Narvarte Oriente, Benito Juárez",- 200 m² tot. - 3 rec. - 3 baños - 3 estac.
293,2,2,"8,990,000","Lindavista Sur, Gustavo A. Madero",- 156 m² tot. - 3 rec. - 2 baños - 1 estac.
294,2,2,"19,700,000","San Ángel, Alvaro Obregón",- 226 m² tot. - 4 rec. - 3 baños - 3 estac.
295,2,2,"21,000,000","Bosque de las Lomas, Miguel Hidalgo",- 600 m² tot. - 3 rec. - 3 baños - 2 estac.
296,2,2,"8,500,000","San Jerónimo Aculco, La Magdalena Contreras",- 280 m² tot. - 3 rec. - 2 baños - 4 estac.
297,2,2,"17,124,000","Fuentes del Pedregal, Tlalpan",- 525 m² tot. - 4 rec. - 4 baños - 4 estac.
298,2,2,"14,900,000","Copilco Universidad, Coyoacán",- 273 m² tot. - 4 rec. - 3 baños - 10 estac.
299,2,2,"20,000,000","Anzures, Miguel Hidalgo",- 194 m² tot. - 1 baño - 7 estac.
300,3,3,"2,800,000","Fraccionamiento Jardines de Huayapan, San Andrés Huayápam",- 128 m² tot. - 4 rec. - 2 estac.
301,3,3,"1,660,000","Ejido Paraje Santa María, Oaxaca de Juárez",- 85 m² tot. - 1 baño - 1 estac.
302,3,3,"12,500,000","Sector O, Santa María Huatulco",- 450 m² tot. - 3 rec. - 3 baños - 1 estac.
303,3,3,"1,830,000","Fraccionamiento Bugambilias, Oaxaca de Juárez",- 120 m² tot. - 1 baño - 3 estac.
304,3,3,"3,500,000","Mazunte, Santa María Tonameca",- 625 m² tot. - 2 rec. - 2 baños - 5 estac.
305,3,3,"1,800,000","Oaxaca Centro, Oaxaca de Juárez",- 250 m² tot. - 3 rec. - 2 baños - 1 estac.
306,3,3,"1,800,000","Balcones Tangolunda, Santa María Huatulco",- 433 m² tot. - 4 rec. - 4 baños - 4 estac.
